input_id,title,address,website,phone,cid,owner,emails
6e9ef190-daf6-40c0-8578-76387d48253d,Korean Spoon,"ห้องเลขที่ 201, Korean Spoon, อาคารโครงการเดอะคริสตัลเอกมัย-รามอินทราอาคารอีชั้นที่ 2, 202 Pradit Manutham Rd, Lat Phrao, Bangkok 10230",,090 906 0609,7559321389647353387,"{""id"":"""",""name"":""Korean Spoon (Owner)"",""link"":""""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Mekha By SHAN Villas,"Mekha By SHAN Villas 16 On Nut 18 Alley, Suan Luang, Bangkok 10250",https://shanvillasbangkok.com/dining/,061 978 2644,16163644062447865700,"{""id"":""114271720835002318914"",""name"":""Mekha By SHAN Villas (Owner)"",""link"":""https://www.google.com/maps/contrib/114271720835002318914""}",
6e9ef190-daf6-40c0-8578-76387d48253d,SODAM Korean casual diner,"7 Market Today Thanon Krung Thep Kritha Soi 7, Hua Mak, Bang Kapi District, Bangkok 10240",https://www.wongnai.com/restaurants/245864Ck-sodam-korean-casual-diner,086 392 2007,4528907603280729735,"{""id"":""112633898792999438283"",""name"":""SODAM Korean casual diner (Owner)"",""link"":""https://www.google.com/maps/contrib/112633898792999438283""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Sorabol,"PHCC+89M Sorabol, Sukhumvit Rd, Khlong Tan, Khlong Toei, Bangkok 10110",https://www.facebook.com/sorabolkoreanrestaurant,02 204 1203,15397737173936943889,"{""id"":"""",""name"":""Sorabol (Owner)"",""link"":""""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Ko Kung Korean Restaurant,"74 ,Soi 26,Sukhumvit Rd. Sukhumvit Rd, klongton klongtoey Bangkok 10110",https://www.kokung.com/,02 261 0560,1770700676538309005,"{""id"":""117345094788915504047"",""name"":""Ko Kung Korean Restaurant (Owner)"",""link"":""https://www.google.com/maps/contrib/117345094788915504047""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Myeong Ga,"21216 สุขุมวิทพลาซ่า ซอย Suk Chai Alley, Khlong Toei, Bangkok 10110",,02 229 4658,8569142949672381546,"{""id"":"""",""name"":""Myeong Ga (Owner)"",""link"":""""}",
6e9ef190-daf6-40c0-8578-76387d48253d,SURA Korean BBQ_by Korean Chef,"32/1 Soi Sukhumvit 39, Khlong Tan Nuea, Watthana, Bangkok 10110",https://www.facebook.com/Surabbqinbangkok/,02 077 9263,15458978980527508535,"{""id"":""116203173744221893804"",""name"":""SURA Korean BBQ_by Korean Chef (Owner)"",""link"":""https://www.google.com/maps/contrib/116203173744221893804""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Jang Won,"212 Jang Won, 9-10 Suk Chai Alley, Khlong Toei, Bangkok 10110",https://www.facebook.com/JangWonKoreanBBQBangkok/,02 251 2636,17598661400659235590,"{""id"":""108379661745989566004"",""name"":""Jang Won (Owner)"",""link"":""https://www.google.com/maps/contrib/108379661745989566004""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Kongju Restaurant,"444 Phaya Thai Rd, Wang Mai, Pathum Wan, Bangkok 10330",https://www.pprincess.com/bangkok-dining/kongju-korean-restaurant,02 216 3700,8364442161041888248,"{""id"":""103798359734475968135"",""name"":""Kongju Restaurant (Owner)"",""link"":""https://www.google.com/maps/contrib/103798359734475968135""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Youchun,"Sukhumvit 5 Alley, Khlong Toei Nuea, Watthana, Bangkok 10110",http://vacio2011.pixnet.net/blog/post/83385023-%E5%90%83%E5%88%B0%E9%A3%BD%E9%9F%93%E5%9C%8B%E7%83%A4%E8%82%89---youchun,062 290 8409,13464030120860069093,"{""id"":""100571043845379132371"",""name"":""Youchun (Owner)"",""link"":""https://www.google.com/maps/contrib/100571043845379132371""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Doo Rae,"212 Doo Rae, 15 Sukhumvit Rd, Khlong Toei, Bangkok 10110",,02 653 3815,6399133073922898427,"{""id"":"""",""name"":""Doo Rae (Owner)"",""link"":""""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Bornga Thailand,"บูเลอวาร์ด ทาวเวอร์ ชั้น 39 2 Soi Sukhumvit 39, Khlong Tan Nuea, Watthana, Bangkok 10110",https://www.instagram.com/bornga_thailand,02 160 0095,16479280553892981783,"{""id"":""114796271592868995286"",""name"":""Bornga Thailand (Owner)"",""link"":""https://www.google.com/maps/contrib/114796271592868995286""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Cheongdam,"โคเรียทาว korea town 212/33 สุขุมวิทพลาซ่า Suk Chai Alley, Khlong Toei, Bangkok 10110",https://www.wongnai.com/restaurants/414589Kx-cheongdam-korean-restaurant-korea-town,065 592 3565,10266174632777906599,"{""id"":""106957076782408151862"",""name"":""Cheongdam (Owner)"",""link"":""https://www.google.com/maps/contrib/106957076782408151862""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Annyeong Bangkok,"30 ชั้น 2 Soi Silom 20, Suriya Wong, Bang Rak, Bangkok 10500",http://www.facebook.com/annyeongbkk,02 279 0255,12104468367623284074,"{""id"":""103295832404482361214"",""name"":""Annyeong Bangkok (Owner)"",""link"":""https://www.google.com/maps/contrib/103295832404482361214""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Kimdaegam Hansik,"อาคาร ไทม์สแควร์ ชั้น 3 Sukhumvit Rd, Khlong Toei, Bangkok 10110",,02 251 0230,572586938676433111,"{""id"":""115123105127162131785"",""name"":""Kimdaegam Hansik (Owner)"",""link"":""https://www.google.com/maps/contrib/115123105127162131785""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Joha,"111/1 7 Phahonyothin Rd, Phaya Thai, Bangkok 10400",https://www.facebook.com/Johakoreanfood,083 177 5533,8176293207972866037,"{""id"":""109153284393940162087"",""name"":""Joha (Owner)"",""link"":""https://www.google.com/maps/contrib/109153284393940162087""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Cheongdam,"โคเรียทาว korea town 212/33 สุขุมวิทพลาซ่า Suk Chai Alley, Khlong Toei, Bangkok 10110",https://www.wongnai.com/restaurants/414589Kx-cheongdam-korean-restaurant-korea-town,065 592 3565,10266174632777906599,"{""id"":""106957076782408151862"",""name"":""Cheongdam (Owner)"",""link"":""https://www.google.com/maps/contrib/106957076782408151862""}",
6e9ef190-daf6-40c0-8578-76387d48253d,Kimdaegam Hansik,"อาคาร ไทม์สแควร์ ชั้น 3 Sukhumvit Rd, Khlong Toei, Bangkok 10110",,02 251 0230,572586938676433111,"{""id"":""115123105127162131785"",""name"":""Kimdaegam Hansik (Owner)"",""link"":""https://www.google.com/maps/contrib/115123105127162131785""}",
